sigma_values,alpha,epsilon,m,features_dim,n,p,mu_0,sigma_0,sigma_1,train_acc,test_acc,alpha_value
0.0,-1,0,400,1,50,0.1,0,1,1,0.9745250000000001,0.6952999999999999,0.3150594234466553
0.0,-1,0.02,400,1,50,0.1,0,1,1,0.98995,0.9430750000000001,0.6363144516944885
0.0,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.9983,0.6821081638336182
0.0,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.6056070923805237
0.0,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.749786376953125
0.05555555555555555,-1,0,400,1,50,0.1,0,1,1,0.902825,0.5992500000000001,0.41311565041542053
0.05555555555555555,-1,0.02,400,1,50,0.1,0,1,1,0.9840500000000001,0.9262,0.8413422107696533
0.05555555555555555,-1,0.04,400,1,50,0.1,0,1,1,0.9998,0.9951,0.8012880682945251
0.05555555555555555,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.933721661567688
0.05555555555555555,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.7675440907478333
0.1111111111111111,-1,0,400,1,50,0.1,0,1,1,0.9734500000000001,0.746,0.5451325178146362
0.1111111111111111,-1,0.02,400,1,50,0.1,0,1,1,0.988375,0.930375,0.7205907106399536
0.1111111111111111,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.998525,0.6546995043754578
0.1111111111111111,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.904805064201355
0.1111111111111111,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.809901773929596
0.16666666666666666,-1,0,400,1,50,0.1,0,1,1,0.986925,0.805925,0.3142167925834656
0.16666666666666666,-1,0.02,400,1,50,0.1,0,1,1,0.99815,0.97015,0.8446146845817566
0.16666666666666666,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.99675,0.9084722399711609
0.16666666666666666,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.6799570322036743
0.16666666666666666,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.8875805735588074
0.2222222222222222,-1,0,400,1,50,0.1,0,1,1,0.985225,0.870475,0.073233462870121
0.2222222222222222,-1,0.02,400,1,50,0.1,0,1,1,0.999125,0.95285,0.7979786992073059
0.2222222222222222,-1,0.04,400,1,50,0.1,0,1,1,0.9998,0.9930999999999999,0.9307007193565369
0.2222222222222222,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.6451432108879089
0.2222222222222222,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.9456164240837097
0.2777777777777778,-1,0,400,1,50,0.1,0,1,1,0.995275,0.94265,0.4749111235141754
0.2777777777777778,-1,0.02,400,1,50,0.1,0,1,1,0.994625,0.964475,0.8787630796432495
0.2777777777777778,-1,0.04,400,1,50,0.1,0,1,1,0.9999,0.99825,0.8366539478302002
0.2777777777777778,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.7054330706596375
0.2777777777777778,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.7493438720703125
0.3333333333333333,-1,0,400,1,50,0.1,0,1,1,0.999925,0.954175,0.5693800449371338
0.3333333333333333,-1,0.02,400,1,50,0.1,0,1,1,0.999925,0.965975,0.7473365068435669
0.3333333333333333,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.99685,0.7715154886245728
0.3333333333333333,-1,0.07,400,1,50,0.1,0,1,1,1.0,0.999975,0.8981243968009949
0.3333333333333333,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.6925024390220642
0.38888888888888884,-1,0,400,1,50,0.1,0,1,1,0.995,0.942875,0.6552643179893494
0.38888888888888884,-1,0.02,400,1,50,0.1,0,1,1,1.0,0.9883000000000001,0.7574331164360046
0.38888888888888884,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.99925,0.8552209138870239
0.38888888888888884,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,1.0245728492736816
0.38888888888888884,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.8221060633659363
0.4444444444444444,-1,0,400,1,50,0.1,0,1,1,0.9988,0.9554499999999999,0.22094295918941498
0.4444444444444444,-1,0.02,400,1,50,0.1,0,1,1,1.0,0.984675,0.5759962797164917
0.4444444444444444,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.999825,0.5215606093406677
0.4444444444444444,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.7798361778259277
0.4444444444444444,-1,0.09,400,1,50,0.1,0,1,1,1.0,1.0,0.8113457560539246
0.5,-1,0,400,1,50,0.1,0,1,1,0.9926,0.9439249999999999,0.7504922151565552
0.5,-1,0.02,400,1,50,0.1,0,1,1,1.0,0.9975,0.8336406946182251
0.5,-1,0.04,400,1,50,0.1,0,1,1,1.0,0.99995,1.0409278869628906
0.5,-1,0.07,400,1,50,0.1,0,1,1,1.0,1.0,0.8756738305091858
0.5,-1,0.09,400,1,50,0.1,0,1,1,0.999925,1.0,0.8997191786766052
